  ,,Q2 GitHub roadmap:,,https://github.com/orgs/your-org/projects/3/views/33,,,,,
Key Goals,,First Month Progress,,,Second Month Progress,,End-Quarter Progress,,
Launch Study Guides,,Completed : Simplify and modularize apply_change_list in topic_services.py,,,,,,,
Deprecate unused Interactions,,"Completed Remove unused interactions (pencilcode, music notes, codemirror, graph, interactive map)
Phase 1 completed",,,,,,,
Fix al the RTE and blog page bugs,,Fixed 4 RTE and blog page bugs out of 10.,,,,,,,
"""Flashback"" support for learners (TDD)",,TDD ready waiting for review,,,,,,,
,,,,,,,,,
"Project Description

Include GitHub tracking issue, as well as impact/motivation and any pertinent links.",Project Owner (Leads),Project Owner (Contributor),"Planned completion date
Colour the cell green when project is completed.","Subtasks

This should be a full list of tasks necessary to complete the project. It's OK to add more tasks to this list as new information comes up.","Est. completion date
Note: Only fill in after the subtask has an assignee and is marked ""in progress"".
Orange: date exceeds Planned Completion Date (column C).
Yellow: date slipped.",Status,Assignee,Notes / Links for Subtasks,"Link to active debugging doc (if applicable)

Should correspond to an open thread here: https://github.com/your-org/your-repo/discussions/categories/debugging-docs"
"Add Acceptance for New Lesson player

Impact: Keeps the new lesson player intact until it is launched properly",Mosin,Somnath,31 May,"Logged Out User Part 1
https://github.com/your-org/your-repo/issues/23475",,Blocked,Somnath Mishra,"Key User Stories and Tasks that will be implemented & Testing Plan
PR : https://github.com/your-org/your-repo/pull/24948

[BLOCKED] Need approval on the doc from JayamNew Lesson Player - Critical User Journeys for Web (External Users) -- v3

1. Re-requested for review as some changes were made after LGTM
2. The PR is LGTM.",
,,,,"Logged Out User Part 2 / Logged In learner 
https://github.com/your-org/your-repo/issues/23475",,Blocked,,"Blocked on Part 1 once Part 1 is completed, Somnath will open a PR for this.",
Launch Study Guides + all the project board issues,Mosin ,Sourav ,15 May,"Redirect the 'subtopic' handler to the 'subtopic_with_study_guide_migration' handler in android.py
https://github.com/your-org/your-repo/issues/25518",23 May,In Progress,Sourav ,"Current status quo: Study Guides Current Status Quo and Launch Plan

Need to address reviewer comments ",
,,,,"Simplify and modularize apply_change_list in topic_services.py
https://github.com/your-org/your-repo/issues/25791",23 May,Completed,Sourav,Openning PR for last/6th issue by 16 EOD ,
,,,,Deprecate the show_restructured_study_guides feature flag https://github.com/your-org/your-repo/issues/25520,,Blocked,,Good to work on this issue after completion of: Simplify and modularize apply_change_list in topic_services.py  https://github.com/your-org/your-repo/issues/25791,
,,,,Drop the old /subtopic endpoint: https://github.com/your-org/your-repo/issues/25519,,Blocked,,Android team to switch their endpoint from /subtopic to /subtopic_with_study_guide following instructions on https://github.com/your-org/mobile-app-repo/issues/5844\,
,,,,Deprecate the logic dependent on the Subtopic Page Models https://github.com/your-org/your-repo/issues/25806,,Not Started,,,
,,,,Delete all old Subtopic Page models https://github.com/your-org/your-repo/issues/25521,,Blocked,,"Need clarification from tech leads: Do we need to delete subtopic page models from data store as no longer used and needed. As After migrating all data to StudyGuideModel, keeping SubtopicPageModel in the datastore serves no purpose as it will be duplicate, outdated data using an incompatible structure that will confuse developers and waste storage.

Mosin: Accelerated this issue to Chris.
Chris: Do msg explaining this issue.
Mosin: Needs to msg",
